id,value,time,datetime_format
442,15.65,1664229815,2022-09-27 00:03:35
456,15.59,1664230116,2022-09-27 00:08:36
470,15.52,1664230418,2022-09-27 00:13:38
484,15.44,1664230719,2022-09-27 00:18:39
497,15.39,1664231021,2022-09-27 00:23:41
511,15.27,1664231322,2022-09-27 00:28:42
524,15.15,1664231623,2022-09-27 00:33:43
537,15.6,1664231924,2022-09-27 00:38:44
551,14.97,1664232225,2022-09-27 00:43:45
565,14.93,1664232527,2022-09-27 00:48:47
579,14.89,1664232828,2022-09-27 00:53:48
593,14.89,1664233130,2022-09-27 00:58:50
607,14.89,1664233432,2022-09-27 01:03:52
620,14.93,1664233733,2022-09-27 01:08:53
634,14.92,1664234034,2022-09-27 01:13:54
647,14.89,1664234335,2022-09-27 01:18:55
661,14.93,1664234636,2022-09-27 01:23:56
675,14.94,1664234937,2022-09-27 01:28:57
689,14.94,1664235238,2022-09-27 01:33:58
703,14.93,1664235539,2022-09-27 01:38:59
717,14.93,1664235841,2022-09-27 01:44:01
730,14.98,1664236143,2022-09-27 01:49:03
744,14.98,1664236444,2022-09-27 01:54:04
758,15.2,1664236746,2022-09-27 01:59:06
771,15.2,1664237047,2022-09-27 02:04:07
785,15.0,1664237349,2022-09-27 02:09:09
799,14.98,1664237650,2022-09-27 02:14:10
813,14.97,1664237951,2022-09-27 02:19:11
827,14.97,1664238252,2022-09-27 02:24:12
840,14.98,1664238553,2022-09-27 02:29:13
853,14.98,1664238855,2022-09-27 02:34:15
867,15.0,1664239156,2022-09-27 02:39:16
881,14.96,1664239458,2022-09-27 02:44:18
895,14.97,1664239760,2022-09-27 02:49:20
909,14.96,1664240061,2022-09-27 02:54:21
923,14.94,1664240362,2022-09-27 02:59:22
936,14.89,1664240664,2022-09-27 03:04:24
950,14.85,1664240965,2022-09-27 03:09:25
963,14.85,1664241266,2022-09-27 03:14:26
977,14.81,1664241568,2022-09-27 03:19:28
991,14.71,1664241869,2022-09-27 03:24:29
1005,14.67,1664242170,2022-09-27 03:29:30
1019,14.61,1664242471,2022-09-27 03:34:31
1033,14.53,1664242773,2022-09-27 03:39:33
1047,14.53,1664243074,2022-09-27 03:44:34
1061,14.44,1664243375,2022-09-27 03:49:35
1073,14.40,1664243677,2022-09-27 03:54:37
1087,14.38,1664243979,2022-09-27 03:59:39
1101,14.38,1664244280,2022-09-27 04:04:40
1114,14.38,1664244581,2022-09-27 04:09:41
1129,14.42,1664244883,2022-09-27 04:14:43
1141,14.43,1664245184,2022-09-27 04:19:44
1155,14.47,1664245485,2022-09-27 04:24:45
1167,14.42,1664245786,2022-09-27 04:29:46
1183,14.44,1664246088,2022-09-27 04:34:48
1197,14.46,1664246389,2022-09-27 04:39:49
1209,14.47,1664246690,2022-09-27 04:44:50
1223,14.51,1664246992,2022-09-27 04:49:52
1236,14.46,1664247293,2022-09-27 04:54:53
1249,14.43,1664247595,2022-09-27 04:59:55
1263,14.42,1664247896,2022-09-27 05:04:56
1277,14.39,1664248197,2022-09-27 05:09:57
1291,14.39,1664248498,2022-09-27 05:14:58
1305,14.40,1664248800,2022-09-27 05:20:00
1319,14.40,1664249101,2022-09-27 05:25:01
1332,14.40,1664249402,2022-09-27 05:30:02
1345,14.44,1664249703,2022-09-27 05:35:03
1359,14.47,1664250004,2022-09-27 05:40:04
1373,14.44,1664250306,2022-09-27 05:45:06
